,min_dist,min_dur
2083,39733.38,1899.93
2084,1579.8,244.05
2085,476.91,77.51
2086,47888.81,2504.29
2087,323787.38,14487.51
2088,1126.38,161.66
2089,18288.25,1127.19
2090,736.48,83.79
2091,497.75,71.65
2092,1517.98,248.45
2093,1031.8,210.96
2094,57571.99,3564.06
2095,85.12,15.32
2096,48797.8,2667.27
2097,1257.15,157.63
2098,2494.83,191.71
2099,55276.77,2532.22
2100,23515.74,1582.67
2101,1970.08,264.95
2102,780.41,117.18
2103,1130.13,167.4
2104,1701.55,220.54
2105,8057.35,813.06
2106,20611.06,1384.51
2107,23790.62,1257.45
2108,240.51,58.28
2109,548.59,108.39
2110,3018.1,365.65
2111,1974.24,266.03
2112,1267.04,174.01
2113,10314.39,914.55
2114,529.9,73.89
2115,864.03,128.63
2116,3341.52,322.46
2117,1157.55,211.03
2118,1710.08,261.14
2119,1577.78,272.12
2120,436.38,59.85
2121,704.14,95.56
2122,23296.25,1486.46
2123,6285.48,624.62
2124,998.03,144.9
2125,17614.2,1075.14
2126,39114.31,2155.05
2127,2482.03,265.02
2128,153066.66,6287.98
2129,1484.97,179.1
2130,1120.47,177.81
2131,4179.39,444.29
2132,153115.28,6305.24
2133,585.94,98.78
2134,15482.61,1187.96
2135,802.71,119.32
2136,1462.07,227.89
2137,1577.78,272.12
2138,91150.48,4011.3
2139,842.27,150.72
2140,9811.25,1029.82
2141,4436.67,490.85
2142,1386.41,169.26
2143,2694.76,337.33
2144,1569.29,280.06
2145,501686.31,20561.91
2146,2236.68,190.77
2147,1972.28,259.69
2148,592.42,91.21
2149,20219.17,1301.82
2150,20219.17,1301.82
2151,456.56,59.22
2152,1388.48,147.99
2153,251930.94,9965.68
2154,805.5,158.09
2155,95923.73,4553.46
2156,1987.39,205.73
2157,3111.11,364.95
2158,1346.82,250.81
2159,99645.68,4890.09
2160,246.7,53.97
2161,603.44,111.78
2162,463.39,69.49
2163,500.17,97.48
2164,1364.55,228.95
2165,36504.84,2176.3
2166,6688.84,681.62
2167,2445.88,269.28
2168,246.7,53.97
2169,1462.94,267.3
2170,3688.38,498.45
2171,1493.39,243.92
2172,506055.75,21024.98
2173,287.74,63.13
2174,22266.02,1365.9
2175,788.37,141.09
2176,2226.24,317.32
2177,1928.54,231.48
2178,5235.45,561.69
2179,1490.97,235.27
2180,632.13,134.04
